ALMACEN,SKU,CONTROL_DIST,CANT_CONTROL
12088,1,29781,50
12089,1,29781,50
12089,2,29781,1
12089,3,29781,1
12089,4,29781,1
12089,5,29781,1
12093,6,29781,1
12093,7,29781,4
12094,8,29781,50
12094,1,29781,50
12097,8,29781,50
12097,1,29781,50
12097,9,29781,2
12101,1,29781,50
12101,10,29781,1
12101,9,29781,1
12101,11,29781,1
12102,7,29781,4
12103,8,29781,50
12103,1,29781,50
12103,12,29781,1
12103,13,29781,1
12103,14,29781,1
12103,7,29781,4
12103,15,29781,1
12103,16,29781,1
12111,1,29781,50
12111,6,29781,3
12113,1,29781,50
12113,14,29781,1
12113,10,29781,1
12113,2,29781,1
12113,3,29781,1
12115,1,29781,50
12115,2,29781,1
12115,3,29781,1
12116,8,29781,50
12116,1,29781,50
12116,4,29781,1
12116,5,29781,1
12117,8,29781,50
12117,2,29781,1
12117,7,29781,4
12118,8,29781,50
12118,7,29781,4
12120,8,29781,50
12120,1,29781,50
12125,8,29781,50
12125,7,29781,4
12127,8,29781,50
12127,16,29781,1
12138,14,29781,1
12138,10,29781,1
12138,6,29781,1
12140,8,29781,50
12140,9,29781,2
12154,8,29781,50
12154,1,29781,50
12154,3,29781,1
12154,4,29781,1
12154,5,29781,1
12171,1,29781,50
12171,6,29781,2
12178,8,29781,50
12178,1,29781,50
12178,2,29781,1
12183,4,29781,1
12183,5,29781,1
12186,8,29781,50
12186,1,29781,50
12186,5,29781,1
12189,1,29781,50
12189,7,29781,4
12191,3,29781,1
12192,8,29781,50
12199,6,29781,1
12208,6,29781,1
12208,3,29781,1
12221,4,29781,1
12221,5,29781,1
12221,7,29781,4
12224,8,29781,50
12279,5,29781,1